Country Name;Country Code;2020
Aruba;ABW;
Africa Eastern and Southern;AFE;1326,663658
Afghanistan;AFG;508,8084095
Africa Western and Central;AFW;1714,4268
Angola;AGO;1895,770869
Albania;ALB;5215,276752
Andorra;AND;40897,33087
Arab World;ARB;5802,104129
United Arab Emirates;ARE;43103,33629
Argentina;ARG;8441,919439
Armenia;ARM;4267,452119
American Samoa;ASM;11534,56754
Antigua and Barbuda;ATG;14449,99652
Australia;AUS;51812,15404
Austria;AUT;48105,36462
Azerbaijan;AZE;4214,311336
Burundi;BDI;274,0095232
Belgium;BEL;44594,37811
Benin;BEN;1291,040962
Burkina Faso;BFA;830,9251446
Bangladesh;BGD;1968,792225
Bulgaria;BGR;9975,780001
Bahrain;BHR;23443,43483
Bahamas, The;BHS;28607,90138
Bosnia and Herzegovina;BIH;6031,556869
Belarus;BLR;6411,227813
Belize;BLZ;4435,621154
Bermuda;BMU;117098,4463
Bolivia;BOL;3143,045494
Brazil;BRA;6796,844542
Barbados;BRB;15191,16404
Brunei Darussalam;BRN;27466,33964
Bhutan;BTN;3122,376062
Botswana;BWA;6710,990411
Central African Republic;CAF;476,8511127
Canada;CAN;43241,61783
Central Europe and the Baltics;CEB;16082,45771
Switzerland;CHE;86601,55641
Channel Islands;CHI;
Chile;CHL;13231,70421
China;CHN;10500,39562
Cote d'Ivoire;CIV;2325,723705
Cameroon;CMR;1499,372843
Congo, Dem. Rep.;COD;556,8131853
Congo, Rep.;COG;1972,545246
Colombia;COL;5332,773524
Comoros;COM;1402,595489
Cabo Verde;CPV;3064,272388
Costa Rica;CRI;12076,81451
Caribbean small states;CSS;9192,767801
Cuba;CUB;9099,673146
Curacao;CUW;19701,27038
Cayman Islands;CYM;91392,64259
Cyprus;CYP;26623,80089
Czech Republic;CZE;22762,19714
Germany;DEU;45723,6441
Djibouti;DJI;3425,50345
Dominica;DMA;6526,793215
Denmark;DNK;60908,83513
Dominican Republic;DOM;7268,19691
Algeria;DZA;3310,386534
East Asia & Pacific (excluding high income);EAP;8291,745976
Early-demographic dividend;EAR;3254,969411
East Asia & Pacific;EAS;11499,63467
Europe & Central Asia (excluding high income);ECA;7656,593919
Europe & Central Asia;ECS;23780,38847
Ecuador;ECU;5600,389615
Egypt, Arab Rep.;EGY;3547,870848
Euro area;EMU;37712,12083
Eritrea;ERI;
Spain;ESP;27057,16352
Estonia;EST;23312,27633
Ethiopia;ETH;936,3404611
European Union;EUU;33927,7189
Fragile and conflict affected situations;FCS;1864,57941
Finland;FIN;49041,34226
Fiji;FJI;4881,526069
France;FRA;38625,06738
Faroe Islands;FRO;64225,2649
Micronesia, Fed. Sts.;FSM;3585,423202
Gabon;GAB;7005,879097
United Kingdom;GBR;40284,63846
Georgia;GEO;4278,860771
Ghana;GHA;2328,534642
Gibraltar;GIB;
Guinea;GIN;1194,037865
Gambia, The;GMB;787,0064509
Guinea-Bissau;GNB;727,5201717
Equatorial Guinea;GNQ;7143,238705
Greece;GRC;17676,19248
Grenada;GRD;9680,175825
Greenland;GRL;
Guatemala;GTM;4603,339617
Guam;GUM;37723,78134
Guyana;GUY;6955,939217
High income;HIC;43833,93156
Hong Kong SAR, China;HKG;46323,86344
Honduras;HND;2405,732848
Heavily indebted poor countries (HIPC);HPC;973,2718546
Croatia;HRV;13828,4695
Haiti;HTI;1176,75582
Hungary;HUN;15899,14828
IBRD only;IBD;6187,685697
IDA & IBRD total;IBT;4929,861141
IDA total;IDA;1364,157834
IDA blend;IDB;1664,260131
Indonesia;IDN;3869,588427
IDA only;IDX;1219,775623
